Time,Measurement 1 (dBm)
01:20.2,-39.2650296
01:20.3,-39.2664998
01:20.4,-39.2670951
01:20.5,-39.2678715
01:20.6,-39.2698578
01:20.7,-39.2725774
01:20.8,-39.2745476
01:20.9,-39.2755174
01:21.0,-39.2756306
01:21.1,-39.2770935
01:21.2,-39.2780965
01:21.3,-39.2796118
01:21.4,-39.280422
01:21.5,-39.2786288
01:21.6,-39.2701271
01:21.7,-39.2608403
01:21.8,-39.2547612
01:21.9,-39.2543251
01:22.0,-39.2551615
01:22.1,-39.2558019
01:22.3,-39.2572215
01:22.4,-39.2567464
01:22.5,-39.2566389
01:22.6,-39.2446782
01:22.7,-39.240858
01:22.8,-39.2419757
01:22.9,-39.2409916
01:23.0,-39.2369598
01:23.1,-39.23654
01:23.2,-39.2374354
01:23.3,-39.238713
01:23.4,-39.239535
01:23.5,-39.2409646
01:23.6,-39.238337
01:23.7,-39.2381916
01:23.8,-39.2367869
01:23.9,-39.2362031
01:24.0,-39.2379116
01:24.1,-39.240407
01:24.3,-39.2413799
01:24.4,-39.2410501
01:24.5,-39.2410598
01:24.6,-39.2413188
01:24.7,-39.2431477
01:24.8,-39.2439195
01:24.9,-39.2443904
01:25.0,-39.2440585
01:25.1,-39.2444011
01:25.2,-39.2368744
01:25.3,-39.2373527
01:25.4,-39.2387915
01:25.5,-39.239188
01:25.6,-39.2398094
01:25.7,-39.2402535
01:25.8,-39.2423527
01:25.9,-39.2393249
01:26.0,-39.2394833
01:26.1,-39.2330754
01:26.2,-39.2344205
01:26.3,-39.2349551
01:26.4,-39.2363392
01:26.6,-39.2367392
01:26.7,-39.1210466
01:26.8,-39.2119016
01:26.9,-39.2829705
01:27.0,-39.3324937
01:27.1,-39.365013
01:27.2,-39.3655546
01:27.3,-39.3800678
01:27.4,-39.3605206
01:27.5,-39.3725569
01:27.6,-39.356772
01:27.7,-39.3309346
01:27.8,-39.3436097
01:27.9,-39.3392158
01:28.0,-39.3415631
01:28.1,-39.3491478
01:28.2,-39.3448813
01:28.3,-39.3490877
01:28.4,-39.3528215
01:28.5,-39.3500091
01:28.6,-39.3019014
01:28.7,-39.2970185
01:28.9,-39.293511
01:29.0,-39.2923008
01:29.1,-39.2942528
01:29.2,-39.2917738
01:29.3,-39.2889749
01:29.4,-39.2862024
01:29.5,-39.2892767
01:29.6,-39.2927499
01:29.7,-39.2956473
01:29.8,-39.2994235
01:29.9,-39.3017991
01:30.0,-39.3057875
01:30.1,-39.3087044
01:30.2,-39.3063928
01:30.3,-39.3062211
01:30.4,-39.3068057
01:30.6,-39.301711
01:30.7,-39.2952105
01:30.8,-39.29611
01:30.9,-39.2951824
01:31.0,-39.2955778
01:31.1,-39.2868998
01:31.2,-39.2872966
01:31.3,-39.2882202
01:31.4,-39.2883361
01:31.5,-39.2883742
01:31.6,-39.2896397
01:31.7,-39.2908615
01:31.8,-39.2916326
01:31.9,-39.2911792
01:32.0,-39.29203
01:32.1,-39.2943489
01:32.2,-39.2954105
01:32.3,-39.2979216
01:32.4,-39.2956831
01:32.5,-39.2950794
01:32.7,-39.2958057
01:32.8,-39.2959326
01:32.9,-39.2940337
01:33.0,-39.2949164
01:33.1,-39.2944171
01:33.2,-39.2930588
01:33.3,-39.2920205
01:33.4,-39.2916523
01:33.5,-39.2897623
01:33.6,-39.2769288
01:33.7,-39.2755705
01:33.8,-39.2772358
01:33.9,-39.2785458
01:34.0,-39.2785611
01:34.1,-39.2798323
01:34.2,-39.2796781
01:34.3,-39.2804955
01:34.5,-39.2833346
01:34.6,-39.2841527
01:34.7,-39.2839183
01:34.8,-39.2852357
01:34.9,-39.169791
01:35.0,-39.3596738
01:35.1,-39.3917567
01:35.2,-39.3685237
01:35.3,-39.3592324
01:35.4,-39.3451533
01:35.5,-39.3263938
01:35.6,-39.2957384
01:35.7,-39.288452
01:35.8,-39.2171732
01:35.9,-39.1806963
01:36.0,-39.1883033
01:36.1,-39.2045651
01:36.2,-39.2113787
01:36.3,-39.2188583
01:36.4,-39.2092237
01:36.5,-39.1517545
01:36.7,-39.1475797
01:36.8,-39.0448654
01:36.9,-39.2921914
01:37.0,-39.3440221
01:37.1,-39.3202848
01:37.2,-39.33737
01:37.3,-39.3362944
01:37.6,-39.3343721
01:37.7,-39.330496
01:37.8,-39.3360113
01:37.9,-39.341534
01:38.0,-39.3313008
01:38.1,-39.3194819
01:38.2,-39.3144813
01:38.3,-39.3174503
01:38.4,-39.3094218
01:38.5,-39.3061056
01:38.6,-39.3009405
01:38.7,-39.3064681
01:38.8,-39.3017833
01:38.9,-39.2896529
01:39.0,-39.2554741
01:39.1,-39.2592822
01:39.2,-39.2596921
01:39.3,-39.2633636
01:39.4,-39.266574
01:39.6,-39.2653774
01:39.7,-39.2686754
01:39.8,-39.2666954
01:39.9,-39.2703548
01:40.0,-39.273307
01:40.1,-39.2728949
01:40.2,-39.2768234
01:40.3,-39.2723612
01:40.4,-39.2760081
01:40.5,-39.2773067
01:40.6,-39.2754622
01:40.7,-39.3190038
01:40.8,-39.3114692
01:40.9,-39.1358321
01:41.0,-39.0987675
01:41.1,-39.1573287
01:41.3,-39.1630324
01:41.4,-39.1733876
01:41.5,-39.1851279
01:41.6,-39.1926505
01:41.7,-39.1872663
01:41.8,-39.1424951
01:41.9,-39.1277165
01:42.0,-39.0962855
01:42.1,-39.1012388
01:42.2,-39.1078052
01:42.3,-39.1232521
01:42.4,-39.1301677
01:42.5,-39.1361918
01:42.6,-39.1435725
01:42.7,-39.1563589
01:42.8,-39.1667303
01:42.9,-39.168135
01:43.0,-39.1669198
01:43.1,-39.1671434
01:43.2,-39.158726
01:43.4,-39.1612201
01:43.5,-39.1612886
01:43.6,-39.1648121
01:43.7,-39.1586839
01:43.8,-39.1643641
01:43.9,-39.1742831
01:44.0,-39.1779304
01:44.1,-39.1792153
01:44.2,-39.1747093
01:44.3,-39.1739155
01:44.4,-39.1767399
01:44.5,-39.1705683
01:44.6,-39.1733016
01:44.7,-39.1753629
01:44.8,-39.1782292
01:44.9,-39.1800991
01:45.0,-39.1816692
01:45.1,-39.1836657
01:45.3,-39.1842354
01:45.4,-39.1864411
01:45.5,-39.1881182
01:45.6,-39.18856
01:45.7,-39.1883866
01:45.8,-39.1897109
01:45.9,-39.1914163
01:46.0,-39.1921647
01:46.1,-39.1931787
01:46.2,-39.1922796
01:46.3,-39.1924916
01:46.4,-39.1928305
01:46.5,-39.1933337
01:46.6,-39.1935795
01:46.7,-39.1923886
01:46.8,-39.1919914
01:46.9,-39.1922812
01:47.0,-39.1934085
01:47.1,-39.1933542
01:47.2,-39.1938289
01:47.4,-39.1944113
01:47.5,-39.1945827
01:47.6,-39.1959303
01:47.7,-39.1977004
01:47.8,-39.1988941
01:47.9,-39.1993065
01:48.0,-39.1989549
01:48.1,-39.1981767
01:48.2,-39.1974562
01:48.3,-39.1981258
01:48.4,-39.1979687
01:48.5,-39.1975031
01:48.6,-39.1981236
01:48.7,-39.1946665
01:48.8,-39.1910212
01:48.9,-39.1909841
01:49.0,-39.1909979
01:49.1,-39.1914762
01:49.2,-39.1918848
01:49.4,-39.19235
01:49.5,-39.1930313
01:49.6,-39.1932699
01:49.7,-39.1921551
01:49.8,-39.1926618
01:49.9,-39.1930748
01:50.0,-39.1828583
01:50.1,-39.1838996
01:50.2,-39.1831002
01:50.3,-39.1830242
01:50.4,-39.1828182
01:50.5,-39.1117777
01:50.6,-38.0542463
01:50.7,-38.5868969
01:50.8,-38.6662284
01:50.9,-38.7506138
01:51.0,-38.8399779
01:51.1,-38.7073406
01:51.2,-38.7918778
01:51.3,-38.8165791
01:51.4,-38.849689
01:51.6,-38.8834604
01:51.7,-38.9278023
01:51.8,-38.9345052
01:51.9,-38.9775275
01:52.0,-38.9970975
01:52.1,-39.0051693
01:52.2,-38.8755467
01:52.3,-38.8855179
01:52.4,-39.0216684
01:52.5,-39.0003503
01:52.6,-38.5343001
01:52.7,-38.6401563
01:52.8,-38.7461351
01:52.9,-38.7569273
01:53.0,-38.8487264
01:53.1,-38.7677214
01:53.2,-38.8121064
01:53.4,-38.8129559
01:53.5,-38.8455081
01:53.6,-38.8759975
01:53.7,-38.9107617
01:53.8,-38.9228027
01:53.9,-38.928245
01:54.0,-38.9439651
01:54.1,-38.9364901
01:54.2,-38.9438648
01:54.3,-38.9541479
01:54.4,-38.9671069
01:54.5,-38.9805836
01:54.6,-38.9936656
01:54.7,-39.0013429
01:54.8,-39.0093418
01:54.9,-39.012588
01:55.0,-39.0183009
01:55.1,-39.024026
01:55.3,-39.0268378
01:55.4,-39.0300089
01:55.5,-39.0316922
01:55.6,-39.0313639
01:55.7,-39.0326686
01:55.8,-39.0387829
01:55.9,-39.0420468
01:56.0,-39.0489925
01:56.1,-39.0498115
01:56.2,-39.051087
01:56.3,-39.0549744
01:56.4,-39.0574488
01:56.5,-39.0626696
01:56.6,-39.0647047
01:56.7,-39.0656251
01:56.8,-39.06837
01:56.9,-39.0711141
01:57.0,-39.0742263
01:57.1,-39.0757698
01:57.2,-39.0783186
01:57.4,-39.0777015
01:57.5,-39.0709079
01:57.6,-39.0622033
01:57.7,-39.056045
01:57.8,-39.0477731
01:57.9,-39.045715
01:58.0,-39.0433179
01:58.1,-39.0446409
01:58.2,-39.0432907
01:58.3,-39.0453071
01:58.4,-39.046616
01:58.5,-39.0464924
01:58.6,-39.0486177
01:58.7,-39.0499983
01:58.8,-39.0512701
01:58.9,-39.052555
01:59.1,-39.0544715
01:59.2,-39.0562207
01:59.3,-39.0570842
01:59.4,-39.0567383
01:59.5,-39.0532287
01:59.6,-39.0542433
01:59.7,-39.0548638
01:59.8,-39.0557191
01:59.9,-39.0564589
02:00.0,-39.0580577
02:00.1,-39.0587076
02:00.2,-39.0608843
02:00.3,-39.0619733
02:00.4,-39.0627295
02:00.5,-39.0627312
02:00.6,-39.062862
02:00.7,-39.0632257
02:00.8,-39.0640096
02:00.9,-39.0642892
02:01.0,-39.0608228
02:01.1,-39.0609136
02:01.3,-39.0615887
02:01.4,-39.0624163
02:01.5,-39.0630602
02:01.6,-39.1734334
02:01.7,-39.0867331
02:01.8,-38.0986086
02:01.9,-38.2353454
02:02.0,-39.1037504
02:02.1,-39.1138992
02:02.2,-39.1242603
02:02.3,-39.1169502
02:02.4,-39.0950829
02:02.5,-38.8650791
02:02.6,-38.9160587
02:02.7,-38.9425352
02:02.8,-38.9525689
02:02.9,-38.9683248
02:03.0,-38.9767586
02:03.1,-38.9877483
02:03.2,-38.9926977
02:03.4,-39.0048358
02:03.5,-39.012144
02:03.6,-39.0217042
02:03.7,-39.0216229
02:03.8,-39.0544802
02:03.9,-39.0813795
02:04.0,-39.099648
02:04.1,-39.099838
02:04.2,-39.0966681
02:04.3,-39.1091924
02:04.4,-38.5843543
02:04.5,-39.0809136
02:04.7,-39.0776964
02:04.8,-39.0432186
02:04.9,-39.0462879
02:05.0,-39.0620872
02:05.1,-39.0629868
02:05.2,-39.0829621
02:05.3,-38.9969225
02:05.5,-39.0173875
02:05.6,-39.0262968
02:05.7,-39.0304842
02:05.8,-39.0383894
02:05.9,-39.043394
02:06.0,-39.0443256
02:06.1,-39.0332766
02:06.2,-39.0429524
02:06.3,-39.0448136
02:06.4,-39.0475021
02:06.5,-39.0516996
02:06.6,-39.0540373
02:06.7,-39.0533592
02:06.8,-39.0345885
02:06.9,-39.0249514
02:07.0,-39.0281918
02:07.1,-39.0285854
02:07.2,-39.0281463
02:07.4,-39.0293648
02:07.5,-39.0300564
02:07.6,-39.0330001
02:07.7,-39.0327578
02:07.8,-39.0335453
02:07.9,-39.034146
02:08.0,-38.9402933
02:08.1,-39.0119955
02:08.2,-39.0069257
02:08.3,-39.0279044
02:08.4,-39.0221579
02:08.5,-39.0158152
02:08.6,-39.0157333
02:08.7,-39.0135549
02:08.8,-39.0112615
02:08.9,-39.0171799
02:09.0,-39.017057
02:09.1,-39.0157022
02:09.2,-39.0222248
02:09.3,-39.0234787
02:09.5,-39.0216295
02:09.6,-38.9983345
02:09.7,-38.9864122
02:09.8,-38.9689061
02:09.9,-38.9427569
02:10.0,-38.9431248
02:10.1,-38.9451044
02:10.2,-38.9493721
02:10.3,-38.952319
02:10.4,-38.953223
02:10.5,-38.9574313
02:10.6,-38.9599118
02:10.7,-38.9621503
02:10.8,-38.9636919
02:10.9,-38.964557
02:11.0,-38.9389158
02:11.1,-38.9356412
02:11.2,-38.9354023
02:11.3,-38.9396
02:11.5,-38.9441721
02:11.6,-38.944711
02:11.7,-38.9450307
02:11.8,-38.9419929
02:11.9,-38.9419899
02:12.0,-38.9407456
02:12.1,-38.9426945
02:12.2,-38.9434624
02:12.3,-38.9438676
02:12.4,-38.9434696
02:12.5,-38.922328
02:12.6,-38.9212192
02:12.7,-38.9239343
02:12.8,-38.9259071
02:12.9,-38.9251957
02:13.0,-38.9263914
02:13.1,-38.9266022
02:13.2,-38.9281293
02:13.3,-38.9293392
02:13.4,-38.9287267
02:13.5,-38.927806
02:13.6,-38.9286098
02:13.8,-38.928332
02:13.9,-38.9276957
02:14.0,-38.9287245
02:14.1,-38.9280813
02:14.2,-38.9288066
02:14.3,-38.9291861
02:14.4,-38.92768
02:14.5,-38.9292069
02:14.6,-38.9300866
02:14.7,-38.9311192
02:14.8,-38.9199793
02:14.9,-38.9205167
02:15.0,-38.921088
02:15.1,-38.9215841
02:15.2,-38.8373099
02:15.4,-36.9080389
02:15.5,-37.8191863
02:15.6,-38.0039224
02:15.7,-38.9430779
02:15.8,-38.9993567
02:15.9,-38.999484
02:16.0,-38.0799556
02:16.1,-38.8746478
02:16.2,-38.9774355
02:16.3,-38.9809538
02:16.4,-38.9641108
02:16.5,-38.9304798
02:16.7,-38.9362395
02:16.8,-38.9449415
02:16.9,-38.9688831
02:17.0,-38.9777323
02:17.1,-38.9867176
02:17.2,-38.9382777
02:17.3,-38.9442772
02:17.4,-39.090356
02:17.5,-39.0345059
02:17.6,-39.0410747
02:17.7,-39.0032018
02:17.8,-39.0042939
02:17.9,-38.9876874
02:18.0,-38.9922747
02:18.1,-38.9987962
02:18.2,-38.953354
02:18.3,-38.9519742
02:18.4,-38.953389
02:18.5,-38.952354
02:18.6,-38.9526484
02:18.7,-38.9435238
02:18.9,-38.9433317
02:19.0,-38.9415035
02:19.1,-38.9427521
02:19.2,-38.9416659
02:19.3,-38.9407997
02:19.4,-38.9444603
02:19.5,-38.9416824
02:19.6,-38.9166409
02:19.7,-38.9156719
02:19.8,-38.9184386
02:19.9,-38.9211951
02:20.0,-38.9154768
02:20.1,-38.9176186
02:20.2,-38.9169599
02:20.3,-38.9196935
02:20.4,-38.9235068
02:20.5,-38.9252453
02:20.6,-38.9273207
02:20.7,-38.9265875
02:20.9,-38.9276777
02:21.0,-38.9298506
02:21.1,-38.9307406
02:21.2,-38.9310352
02:21.3,-38.9322861
02:21.4,-38.9323717
02:21.5,-38.9328656
02:21.6,-38.9323947
02:21.7,-38.9323585
02:21.8,-38.9230817
02:21.9,-38.9193569
02:22.0,-38.9173948
02:22.1,-38.9174913
02:22.2,-38.9173492
02:22.3,-38.912715
02:22.4,-38.9126142
02:22.6,-38.9129926
02:22.7,-38.9128031
02:22.8,-38.9128414
02:22.9,-38.9141629
02:23.0,-38.9115613
02:23.1,-38.9261881
02:23.2,-38.9233939
02:23.3,-38.9032882
02:23.4,-38.8944332
02:23.5,-38.8838855
02:23.6,-38.8847075
02:23.7,-38.8823156
02:23.8,-38.8720269
02:23.9,-38.8726472
02:24.0,-38.8692174
02:24.1,-38.8570103
02:24.2,-38.8587551
02:24.4,-38.8596632
02:24.5,-38.8611363
02:24.6,-38.8596643
02:24.7,-38.8562027
02:24.8,-38.8604273
02:24.9,-38.841334
02:25.0,-38.8455131
02:25.1,-38.8570055
02:25.2,-38.8441563
02:25.3,-38.8463415
02:25.4,-38.8621485
02:25.5,-38.8412037
02:25.6,-38.7709745
02:25.7,-38.7634739
02:25.8,-38.7527175
02:25.9,-38.7588396
02:26.0,-38.7606788
02:26.1,-38.7672568
02:26.2,-38.783715
02:26.3,-38.7918261
02:26.4,-38.7991976
02:26.5,-38.8064982
02:26.6,-38.8141584
02:26.8,-38.5831576
02:26.9,-38.8704016
02:27.0,-38.9059409
02:27.1,-38.9191816
02:27.2,-38.8889034
02:27.3,-38.8925117
02:27.4,-38.901807
02:27.5,-38.9016467
02:27.8,-38.4397231
02:27.9,-38.5522521
02:28.0,-38.673647
02:28.1,-38.715783
02:28.2,-38.7518351
02:28.3,-38.7552574
02:28.4,-38.7753828
02:28.5,-38.7907054
02:28.6,-38.803578
02:28.7,-38.8104127
02:28.8,-38.8180159
02:28.9,-38.8265821
02:29.1,-38.8299635
02:29.2,-38.8143793
02:29.3,-38.8197427
02:29.4,-38.8303523
02:29.5,-38.8334311
02:29.6,-38.8384298
02:29.7,-38.8364986
02:29.8,-38.8361758
02:29.9,-38.8322565
02:30.0,-38.8217614
02:30.1,-38.8190944
02:30.2,-38.8208507
02:30.4,-38.8233298
02:30.5,-38.8254986
02:30.6,-38.8278393
02:30.7,-38.8263837
02:30.8,-38.8276731
02:30.9,-38.8279414
02:31.0,-38.825267
02:31.1,-38.8255494
02:31.2,-38.8251699
02:31.3,-38.8196987
02:31.4,-38.8217623
02:31.5,-38.8067805
02:31.6,-38.8035596
02:31.7,-38.8050089
02:31.9,-38.8060439
02:32.0,-38.808768
02:32.1,-38.8094125
02:32.2,-38.80533
02:32.3,-38.8038268
02:32.4,-38.8022878
02:32.5,-38.7972331
02:32.6,-38.7971571
02:32.7,-38.7978716
02:32.8,-38.7985793
02:32.9,-38.7988442
02:33.0,-38.7999886
02:33.4,-38.7995118
02:33.5,-38.7993595
02:33.6,-38.7975417
02:33.7,-38.7978782
02:33.8,-38.7979948
02:33.9,-38.798202
02:34.0,-38.7969592
02:34.2,-38.7971222
02:34.3,-38.7978165
02:34.4,-38.7967494
02:34.5,-38.7939943
02:34.6,-38.793703
02:34.7,-38.7936543
02:34.8,-38.7934868
02:34.9,-38.7847659
02:35.0,-38.7850605
02:35.2,-38.780593
02:35.3,-38.7800226
02:35.4,-38.7804694
02:35.5,-38.7813176
02:35.6,-38.7813393
02:35.7,-38.7819404
02:35.8,-38.7819476
02:35.9,-38.7828612
02:36.0,-38.7836588
02:36.1,-38.7834004
02:36.2,-38.7833355
02:36.3,-38.780749
02:36.4,-38.7807352
02:36.5,-38.7767225
02:36.6,-38.7759949
02:36.7,-38.7705249
02:36.8,-38.7712754
02:37.0,-38.7723125
02:37.1,-38.7729796
02:37.2,-38.7722364
02:37.3,-38.7729306
02:37.4,-38.7727883
02:37.5,-38.7729763
02:37.6,-38.7738652
02:37.7,-38.7744592
02:37.8,-38.7703085
02:37.9,-38.7706924
02:38.0,-38.7706865
02:38.1,-38.7718001
02:38.2,-38.7716325
02:38.3,-38.7719644
02:38.5,-38.7723515
02:38.6,-38.7719249
02:38.7,-38.7724396
02:38.8,-38.7725556
02:38.9,-38.7723914
02:39.0,-38.7726709
02:39.1,-38.7734907
02:39.2,-38.7741518
02:39.3,-38.7738793
02:39.4,-38.773754
02:39.5,-38.7736435
02:39.6,-38.683607
02:39.8,-38.7002103
02:39.9,-38.7045983
02:40.0,-38.738649
02:40.1,-38.6856195
02:40.2,-38.7009797
02:40.3,-38.7107453
02:40.4,-38.727194
02:40.5,-38.7369807
02:40.6,-38.7099911
02:40.7,-38.696925
02:40.8,-38.7004333
02:40.9,-38.7127315
02:41.0,-38.7192517
02:41.1,-38.6988828
02:41.2,-38.6866773
02:41.3,-38.6915183
02:41.4,-38.6996113
02:41.7,-38.7170417
02:41.8,-38.7304797
02:41.9,-38.7326988
02:42.0,-38.7369699
02:42.1,-38.7417592
02:42.2,-38.7459648
02:42.3,-38.7519105
02:42.6,-38.7599203
02:42.7,-38.7626619
02:42.8,-38.765428
02:43.0,-38.768587
02:43.1,-38.7717987
02:43.2,-38.7728767
02:43.3,-38.7753799
02:43.4,-38.7765485
02:43.5,-38.7774012
02:43.6,-38.7773197
02:43.7,-38.7789345
02:43.8,-38.7801361
02:43.9,-38.7807203
02:44.0,-38.7800208
02:44.1,-38.7804199
02:44.2,-38.7800516
02:44.3,-38.7810923
02:44.4,-38.7819577
02:44.5,-38.7819917
02:44.6,-38.7836357
02:44.7,-38.7833757
02:44.9,-38.7835331
02:45.0,-38.7840811
02:45.1,-38.7832861
02:45.2,-38.7838516
02:45.3,-38.7850058
02:45.4,-38.785995
02:45.5,-38.7868183
02:45.6,-38.7873942
02:45.7,-38.7880274
02:45.8,-38.7888852
02:45.9,-38.7895481
02:46.0,-38.7905789
02:46.1,-38.7915997
02:46.2,-38.7917918
02:46.3,-38.7925039
02:46.4,-38.7929964
02:46.6,-38.7934764
02:46.7,-38.7941053
02:46.8,-38.794984
02:46.9,-38.7950869
02:47.0,-38.7954684
02:47.1,-38.795319
02:47.2,-38.7956587
02:47.3,-38.7957121
02:47.4,-38.7969394
02:47.5,-38.7970027
02:47.6,-38.7963789
02:47.7,-38.7963635
02:47.8,-38.7974595
02:47.9,-38.7977705
02:48.0,-38.7981212
02:48.1,-38.7984523
02:48.2,-38.7986587
02:48.3,-38.7986656
02:48.4,-38.7990561
02:48.6,-38.7989478
02:48.7,-38.799391
02:48.8,-38.800053
02:48.9,-38.7999442
02:49.0,-38.800291
02:49.1,-38.8005971
02:49.2,-38.8011535
02:49.3,-38.8018481
02:49.4,-38.8021128
02:49.5,-38.8020225
02:49.6,-38.8006537
02:49.7,-38.7986397
02:49.8,-38.7988345
02:49.9,-38.7991665
02:50.0,-38.7982861
02:50.1,-38.7908268
02:50.2,-38.7880858
02:50.3,-38.7879462
02:50.4,-38.788012
02:50.5,-38.787964
02:50.6,-38.7863228
02:50.7,-38.7843016
02:50.9,-38.7850696
02:51.0,-38.7853892
02:51.1,-38.78566
02:51.2,-38.7853419
02:51.3,-38.7834288
02:51.4,-38.7839958
02:51.5,-38.7840037
02:51.6,-38.7835041
02:51.7,-38.7844636
02:51.8,-38.7849109
02:51.9,-38.7844393
02:52.0,-38.7840845
02:52.1,-38.7847538
02:52.2,-38.7803226
02:52.3,-38.7804281
02:52.4,-38.7738387
02:52.5,-38.7743191
02:52.6,-38.7727405
02:52.8,-38.7730022
02:52.9,-38.7733934
02:53.0,-38.7730503
02:53.1,-38.7725871
02:53.2,-38.7732967
02:53.3,-38.774037
02:53.4,-38.7740103
02:53.5,-38.7740467
02:53.6,-38.7742651
02:53.7,-38.7748606
02:53.9,-38.7752615
02:54.0,-38.7755466
02:54.1,-38.7762935
02:54.2,-38.7763683
02:54.3,-38.7750854
02:54.4,-38.7752556
02:54.5,-38.7757753
02:54.6,-38.7757864
02:54.7,-38.7760124
02:54.8,-38.7767567
02:54.9,-38.7753015
02:55.0,-38.7754518
02:55.1,-38.7762377
02:55.2,-38.7772608
02:55.3,-38.7777695
02:55.4,-38.778002
02:55.6,-38.7782804
02:55.7,-38.7787353
02:55.8,-38.7765132
02:55.9,-38.7767737
02:56.0,-38.8245825
02:56.1,-38.7878115
02:56.2,-38.8079057
02:56.3,-38.7931827
02:56.4,-38.8003924
02:56.5,-38.81199
02:56.6,-38.8092605
02:56.7,-38.8118554
02:56.8,-38.8108661
02:57.0,-38.8091517
02:57.1,-38.8118269
02:57.2,-38.8182435
02:57.3,-38.8180738
02:57.4,-38.8198321
02:57.5,-38.8193365
02:57.6,-38.8174491
02:57.7,-38.8167343
02:57.8,-38.8109519
02:57.9,-38.8132889
02:58.0,-38.8120122
02:58.1,-38.8116392
02:58.2,-38.8111855
02:58.3,-38.8105281
02:58.4,-38.8083676
02:58.5,-38.8051052
